GENERIC_NAME,M.W.,ALOGPS_LOGP,#DONOR,#ACCEPTOR,#RINGS,#ROTATABLE_BOND,,POLAR_SURFACE_AREA,REFRACTIVITY,LOGS,POLARIZABILITY,PKA
Ceftobiprole,534.57,-1.27,5,11,5,6,,203.44,131.039,-3.53,50.41,3.06258
Delamanid,534.492,5.71,0,8,5,9,,101.12,124.855,-5.38,51.8553,
Aprepitant,534.427,2.44,2,5,4,8,,75.19,116.928,-4.44,45.5612,15.1606
Hydroxystilbamidine Isethionate,532.58,1.44,5,5,2,8,,119.97,106.839,-3.64,31.1691,
Ponatinib,532.559,3.94,1,5,5,7,,65.77,152.629,-5.26,55.6868,
Terconazole,532.462,4.58,0,7,5,8,,64.88,153.189,-4.66,56.1533,
Ketoconazole,531.431,4.3,0,6,5,7,,69.06,138.067,-4.76,54.825,
Cobimetinib,531.318,3.35,3,4,4,4,,64.6,115.847,-4.1,44.7541,14.014
Glycerol Phenylbutyrate,530.651,6.41,0,3,3,20,,78.9,149.742,-7.02,60.1575,
Bosutinib,530.446,4.87,1,8,4,9,,82.88,142.121,-4.75,56.1423,
Rocuronium,529.774,2.71,1,4,6,6,,59,161.651,-7.3,62.8684,
Nilotinib,529.516,4.51,2,6,5,7,,97.62,152.85,-5.42,52.3469,13.4667
Sofosbuvir,529.458,1.63,3,6,3,11,,152.73,121.592,-2.81,49.8925,10.3863
Lumefantrine,528.94,8.34,1,2,4,10,,23.47,160.81,-7.23,60.6915,
Dutasteride,528.53,5.45,2,2,5,4,,58.2,127.896,-5.77,50.1287,14.4003
Gliquidone,527.632,3.59,2,6,4,6,,121.88,139.481,-5.38,57.2584,18.0196
Rolitetracycline,527.566,-0.08,6,10,5,4,,170.87,139.455,-2.47,54.0507,4.63871
Daunorubicin,527.52,1.68,5,11,5,4,,185.84,132.892,-2.93,52.9447,11.0225
Cefotiam,525.628,-0.33,3,10,4,10,,172.46,142.337,-2.61,49.8683,11.2617
Pentetate zinc trisodium,522.66,0.23,0,13,0,16,,210.37,140.635,-1.64,34.8016,2.33457
Diacetyl benzoyl lathyrol,522.638,3.91,0,4,4,7,,95.97,141.468,-6.16,55.458,
Ticagrelor,522.568,2.31,4,9,5,10,,138.44,142.133,-3.92,51.2708,14.2866
Beclomethasone dipropionate,521.042,3.69,1,5,4,8,,106.97,134.793,-5.4,54.4079,15.5774
Latamoxef,520.473,0.22,4,12,4,9,,206.3,133.704,-2.84,47.2356,3.60977
Boceprevir,519.677,1.93,4,5,3,10,,150.7,138.202,-4.35,56.7752,13.5736
Dabrafenib,519.562,5.44,2,6,4,5,,110.86,127.514,-5.2,49.7084,16.3363
Ceforanide,519.554,-1.35,4,10,4,10,,193.63,139.865,-3.42,49.2698,3.25689
Tenofovir disoproxil,519.448,-0.02,1,10,2,17,,185.44,118.588,-2.86,49.1832,
Dichloralphenazone,519.032,,0,2,2,3,,23.55,56.4168,,20.4064,
Retapamulin,517.763,4.63,1,4,5,6,,66.84,145.452,-6.12,57.9433,19.2353
Piperacillin,517.555,0.67,3,7,4,6,,156.43,126.297,-3.64,51.7706,11.5954
Probucol,516.842,8.92,2,2,2,8,,40.46,159.259,-7.09,62.3472,10.893
Fusidic Acid,516.709,4.97,3,5,4,6,,104.06,144.123,-5,59.7651,18.8926
Udenafil,516.656,3.2,2,8,4,10,,117.92,153.113,-3.81,56.3412,10.5342
Telmisartan,514.617,6.66,1,4,6,7,,72.94,164.489,-5.17,58.6142,
Maraviroc,513.665,4.39,1,5,5,8,,66.54,143.403,-4.77,56.8391,
Strontium ranelate,513.49,1.91,0,10,1,8,,187.55,116.339,-2.46,27.9105,2.17709
Thonzonium,511.818,4.07,0,4,2,22,,38.25,171.191,-7.48,66.4373,
Cefmenoxime,511.558,-0.13,3,11,4,8,,190.81,133.512,-3.06,47.0394,10.8029
Pinaverium,511.52,3.71,0,4,4,10,,36.92,143.322,-8.2,54.4114,
Clomocycline,508.906,-0.45,7,10,4,3,,187.86,124.992,-2.46,49.2866,4.39569
Argatroban,508.634,0.19,5,9,3,8,,180.21,133.536,-3.36,53.8982,10.281
Difluprednate,508.551,3.28,1,5,4,8,,106.97,125.376,-4.72,51.4622,14.4561
Latanoprostene Bunod,507.624,3.94,3,7,2,19,,139.36,136.662,-5.2,56.9491,15.0305
Ixabepilone,506.7,3.28,3,6,3,2,,112.05,136.71,-5.16,56.8636,14.4263
Abemaciclib,506.606,4.25,1,7,5,7,,75,141.265,-4.5,54.746,
Cefditoren,506.578,1.7,3,9,4,7,,160.1,124.18,-4.06,49.1898,10.9005
Amprenavir,505.627,1.85,3,6,3,11,,131.19,134.082,-4.01,53.6042,14.2416
Benidipine,505.571,4.28,1,6,4,9,,111.01,141.003,-5.32,53.5267,
Chlorhexidine,505.447,2.71,10,10,2,9,,167.58,181.715,-4.29,54.5998,
Dipyridamole,504.626,1.52,4,12,4,12,,145.44,142.779,-2.74,56.9356,15.3977
Plerixafor,502.782,0.62,6,8,3,4,,78.66,155.013,-4.03,60.5083,
Hexafluronium,502.745,1.83,0,0,6,9,,0,184.494,-9.44,60.4058,17.2417
Amcinonide,502.572,3.16,1,6,6,4,,99.13,127.877,-4.81,52.2256,15.4634
Fexofenadine,501.656,5.02,3,5,4,10,,81,147.985,-5.28,57.4171,13.1956
Fimasartan,501.65,4.09,1,5,4,9,,90.37,161.235,-5.03,54.8603,18.3732
Cabozantinib,501.514,4.01,2,5,5,8,,98.78,136.121,-5.4,51.4937,14.4711
Adefovir Dipivoxil,501.471,1.49,1,8,2,15,,166.98,119.992,-2.9,49.0019,
Indium In-111 pentetate,501.23,0.11,2,13,0,16,,204.71,118.961,-2.03,34.9088,2.33457
Mupirocin,500.622,2.25,4,8,2,17,,146.05,129.394,-4.28,55.5024,13.1048
Fluticasone propionate,500.571,3.69,1,4,4,6,,80.67,121.65,-4.64,49.2602,14.484
Travoprost,500.548,4.02,3,5,2,14,,96.22,127.858,-4.82,51.6083,14.6212
Rolapitant,500.485,4.07,2,3,4,7,,50.36,118.278,-5.48,46.2027,
Halofantrine,500.424,7.34,1,2,3,11,,23.47,131.66,-6.66,51.5325,
Tauroursodeoxycholic acid,499.71,1.38,4,6,4,7,,123.93,130.679,-4.82,56.7546,15.477
Osimertinib,499.619,4.47,2,7,4,10,,87.55,150.324,-4.35,56.8428,15.2239
Conivaptan,498.574,5.23,2,3,6,4,,78.09,150.834,-5.46,55.5127,13.5358
Moexipril,498.568,1.52,2,7,3,12,,114.4,132.882,-4.93,53.5541,
Calcium Citrate,498.432,0.13,1,7,0,10,,140.62,68.1352,-2.08,14.2278,4.67484
Idarubicin,497.494,1.69,5,10,5,3,,176.61,126.428,-2.81,50.3281,11.045
Pentetate calcium trisodium,497.356,0.22,0,13,0,16,,210.37,140.635,-1.7,34.8016,2.33457
Selexipag,496.63,4.4,1,7,3,11,,101.49,136.809,-5.06,54.981,18.2589
Orlistat,495.735,7.61,1,3,1,23,,81.7,139.944,-6.73,61.1186,
Silodosin,495.534,2.96,3,6,3,14,,97.05,128.92,-4.65,49.8891,15.9715
Fluocinonide,494.525,2.93,1,6,5,4,,99.13,120.565,-4.47,49.1198,14.4448
Glyburide,494.004,3.78,3,5,3,7,,113.6,126.98,-5.38,51.7534,13.7177
Imatinib,493.603,3.47,2,7,5,7,,86.28,148.929,-4.53,55.5386,13.4517
Dasabuvir,493.58,4.7,2,5,4,5,,104.81,134.042,-5.79,53.1866,9.78521
Lurasidone,492.676,5.25,0,5,7,5,,56.75,139.33,-4.8,56.199,
Vorapaxar,492.582,5.2,1,5,5,6,,81.01,135.314,-5.8,54.8045,
Cilnidipine,492.528,4.39,1,6,3,12,,117,137.135,-5.94,51.9683,
Barnidipine,491.544,4.12,1,6,4,9,,111.01,136.359,-5.09,51.0281,
Glimepiride,490.62,3.03,3,7,3,6,,131.66,130.848,-4.15,53.3128,2.8499
Calcium Gluceptate,490.425,-1.91,6,8,0,12,,161.51,55.0706,-1.09,19.349,12.4672
Ferric sulfate,489.93,,0,4,0,0,,80.26,11.5274,,5.80528,1.89643
Vemurafenib,489.922,4.95,2,4,4,6,,91.92,121.969,-6.13,48.1037,12.3877
Carboprost Tromethamine,489.643,1.07,3,5,1,15,,100.82,115.946,-3.9,42.5101,14.514
Vardenafil,488.603,2.18,1,8,4,7,,109.13,142.71,-3.18,53.2222,
Prednicarbate,488.577,3.08,1,6,4,9,,116.2,127.795,-4.94,52.4316,15.8386
Dasatinib,488.006,2.77,3,8,4,7,,106.51,133.076,-4.58,51.5848,10.2808
Fluclorolone acetonide,487.39,4.22,1,5,5,2,,72.83,119.207,-5.45,47.438,14.7902
Olmutinib,486.59,5.22,2,6,5,7,,82.62,140.666,-4.79,53.2085,14.4528
Vilanterol,486.43,3.39,4,6,2,16,,91.18,129.087,-5.61,53.1183,14.1805
Technetium Tc-99m mebrofenin,486.136,-0.39,3,6,1,7,,106.94,89.2656,-3.83,34.9977,5.51334
Afatinib,485.938,3.77,2,7,4,8,,88.61,131.38,-4.58,50.0735,16.1116
Sonidegib,485.507,5.64,1,5,4,6,,63.69,125.337,-5.5,49.9098,
Aclidinium,484.651,3.07,1,3,5,10,,55.76,141.333,-5.53,52.0908,
Kanamycin,484.499,-3.1,11,15,3,6,,282.61,106.135,-0.72,47.5726,12.7466
Nicergoline,484.386,3.99,0,4,5,5,,56.59,123.297,-4.58,48.0831,
Avanafil,483.951,2.42,3,9,4,9,,125.39,131.751,-4.21,50.8732,15.0951
Mersalyl,483.87,-0.07,3,6,1,9,,105.09,69.7529,-1.69,30.5763,14.1143
Amrubicin,483.473,1.4,5,10,5,3,,176.61,122.01,-2.63,48.7524,9.85441
Regorafenib,482.815,4.53,3,3,3,6,,92.35,114.735,-5.67,41.2345,13.9689
Brilliant green,482.64,2.79,0,1,3,7,,6.25,150.57,-6.14,47.0204,
Alectinib,482.617,5.59,1,5,6,3,,72.36,155.113,-4.66,56.4498,
Rosuvastatin,481.538,1.47,3,8,2,9,,140.92,121.438,-3.74,48.546,14.6482
Pranlukast,481.512,4.82,2,7,5,9,,119.09,139.149,-5.18,51.4106,12.3266
Clocapramine,481.073,4.69,2,5,5,6,,53.8,151.887,-4.94,55.3246,
Cefepime,480.561,-0.37,2,8,4,7,,150.04,141.975,-4.49,47.5297,11.1504
Lobeglitazone,480.54,3.84,1,7,4,10,,102.88,129.629,-4.42,49.6444,16.6716
Copanlisib,480.529,1.02,2,11,5,7,,139.79,132.779,-3.32,51.7581,16.2883
Nicardipine,479.525,4.34,1,6,3,11,,113.69,134.796,-5.29,49.9514,
Chlortetracycline,478.88,0.11,7,10,4,2,,182.61,129.93,-3.22,45.6892,4.41992
Gentamicin,477.595,-1.64,8,12,3,7,,199.73,118.021,-1.58,51.9238,13.1594
Almitrine,477.552,4.9,2,7,4,10,,69.21,140.88,-4.52,51.1181,15.4704
Pralatrexate,477.473,0.1,5,11,3,10,,207.3,126.818,-4.43,47.3063,4.13665
Loperamide,477.038,4.44,1,3,4,7,,43.78,139.319,-5.74,52.6692,
Meclocycline,476.87,0.11,6,9,4,2,,181.62,118.474,-2.94,45.049,7.18699
Tenofovir alafenamide,476.474,1.49,2,7,3,12,,143.48,122.742,-3.3,47.8814,18.5754
Pipotiazine,475.667,3.94,1,5,4,7,,64.09,134.123,-4.57,53.1745,
Hydrocortamate,475.618,2.82,2,6,4,8,,104.14,129.478,-3.75,53.2941,14.6965
Dinoprost Tromethamine,475.616,,4,5,1,15,,97.99,100.471,,41.558,14.514
Netilmicin,475.587,-1.42,8,12,3,8,,199.73,119.844,-1.71,50.7585,13.159
Fluspirilene,475.573,5.18,1,3,5,7,,35.58,135.268,-5.45,50.8793,
Ertapenem,475.515,-0.2,5,8,4,7,,156.27,121.804,-3.22,48.768,4.04775
Vandetanib,475.354,5.01,1,6,4,6,,59.51,118.635,-4.67,47.1004,
Sildenafil,474.576,2.35,1,8,4,6,,109.13,139.44,-3.04,51.1774,
Raloxifene,473.583,5.45,2,5,5,7,,70,135.48,-5.97,52.545,9.55221
Ximelagatran,473.565,1.35,4,7,3,11,,146.35,126.566,-3.75,52.1483,15.1304
Leucovorin,473.446,-0.46,7,11,3,9,,215.55,126.662,-3.2,46.3263,4.2085
Levoleucovorin,473.439,-1.06,7,12,3,9,,215.55,126.462,-3.2,44.5847,3.97071
Clofazimine,473.396,7.39,1,4,5,4,,39.99,142.552,-5.5,51.5157,
Enasidenib,473.383,4.25,3,8,3,8,,108.74,118.372,-4.11,41.4065,14.2938
Linagliptin,472.542,2.62,1,7,5,5,,113.48,133.432,-3.97,51.2381,
Cefmetazole,471.534,-0.38,2,9,3,9,,163.33,124.571,-2.34,44.5029,8.7173
Bazedoxifene,470.613,6.03,2,4,5,7,,57.86,141.896,-5.92,54.0577,10.2145
Dicloxacillin,470.326,3.19,2,5,4,3,,112.74,111.442,-4.2,42.8628,13.6423
Nefazodone,470.007,3.71,0,5,4,10,,51.62,132.376,-3.83,51.8484,
Dimenhydrinate,469.964,2.67,1,1,4,6,,13.67,90.9439,-5.57,30.2761,
Ivabradine,468.594,3.17,0,6,4,10,,60.47,133.505,-4.36,54.5575,
Clinofibrate,468.59,5.75,2,6,3,10,,93.06,139.872,-6.32,52.2358,4.00216
Cromoglicic acid,468.366,1.84,3,11,4,8,,165.89,114.107,-4.12,44.381,2.37848
Oxethazaine,467.654,3.67,1,4,2,12,,64.09,138.53,-4.66,52.9456,
Buprenorphine,467.64,4.53,2,5,7,5,,62.16,131.762,-4.44,53.1139,14.298
Tobramycin,467.515,-2.98,10,14,3,6,,268.17,106.695,-0.94,47.1823,13.1328
Clobetasol propionate,466.97,3.49,1,4,4,5,,80.67,119.322,-5.05,48.282,15.1427
Spirapril,466.614,1.79,2,5,3,10,,95.94,121.94,-4.2,48.7401,
Cisapride,465.945,2.95,2,6,3,9,,86.05,122.935,-4.59,49.1118,18.7689
Bacampicillin,465.52,1.17,2,6,3,10,,137.26,113.76,-3.58,46.8045,14.3489
Acalabrutinib,465.517,2.69,2,6,5,5,,118.51,135.716,-4.63,50.996,19.6072
Demeclocycline,464.853,-0.4,6,9,4,2,,181.62,114.355,-2.94,43.7966,4.34539
Sorafenib,464.825,4.12,3,3,3,6,,92.35,114.518,-5.43,41.1059,13.9921
Enzalutamide,464.436,3.75,1,3,3,4,,76.44,113.48,-5.53,42.7146,
Rimonabant,463.787,5.47,1,3,4,4,,50.16,122.831,-5.36,47.9606,
Bilastine,463.622,5.02,1,5,4,10,,67.59,135.575,-5.36,54.9376,
Pivampicillin,463.547,1.43,2,5,3,9,,128.03,116.248,-4.12,47.5397,14.3489
Cefamandole,462.503,-0.05,3,8,4,7,,150.54,126.646,-2.9,42.4517,11.2547
Pimozide,461.546,6.36,1,2,5,7,,35.58,132.208,-5.43,50.0378,
Azlocillin,461.492,0.2,4,6,4,5,,148.15,111.711,-3.3,45.0215,8.90165
Apremilast,460.5,1.79,1,8,3,8,,122.57,119.855,-3.96,46.7108,
Oxytetracycline,460.434,-0.99,7,10,4,2,,201.85,115.398,-2.52,43.4046,4.55399
Apixaban,459.497,2.22,1,5,5,5,,110.76,126.901,-3.83,49.6241,
5-methyltetrahydrofolic acid,459.463,-0.58,7,12,3,9,,198.48,126.681,-3.14,46.1911,4.21304
Levomefolic acid,459.456,-0.58,7,12,3,9,,198.48,126.681,-3.14,46.5606,3.86914
Astemizole,458.57,5.92,1,4,5,8,,42.32,135.643,-5.58,52.0756,
Raltitrexed,458.488,1.65,4,9,3,9,,148.4,117.391,-4.4,45.5545,4.44866
Lanthanum carbonate,457.835,0.65,0,3,0,0,,63.19,31.1724,-1.17,3.51553,10.6384
Minocycline,457.476,-0.03,5,9,4,3,,164.63,122.54,-2.17,45.8972,4.45157
Dequalinium,456.665,0.16,2,2,4,11,,59.8,146.998,-9.04,56.7576,
Delavirdine,456.561,2.77,3,6,4,5,,110.43,126.643,-3.73,50.0143,12.4066
Riboflavin Monophosphate,456.344,-0.78,6,11,3,7,,201.58,107.141,-2.83,42.1886,6.38655
Clevidipine,456.316,4.98,1,4,2,10,,90.93,113.931,-5.23,45.1238,
Zinc gluconate,455.67,-1.95,5,7,0,10,,141.28,49.1081,-1.06,16.6222,12.5937
Lacidipine,455.551,5.18,1,4,2,11,,90.93,129.914,-5.31,49.7422,
Cefotaxime,455.465,0.14,3,9,3,8,,173.51,105.108,-3.49,41.7775,11.0411
Halcinonide,454.96,3.31,1,5,5,2,,72.83,113.548,-4.61,46.6073,15.0373
Sitaxentan,454.905,3.35,1,6,4,5,,107.73,105.805,-4.4,43.1165,11.4201
Verapamil,454.602,5.23,0,6,2,13,,63.95,132.648,-5.06,51.6951,
Cefazolin,454.507,-0.4,2,9,4,7,,156.09,119.856,-2.97,41.4377,10.8702
Ribostamycin,454.473,-2.92,10,14,3,6,,262.38,100.172,-0.71,44.292,12.9736
Methotrexate,454.439,-0.91,5,12,3,9,,210.54,119.211,-3.42,44.5447,4.14202
Flucloxacillin,453.872,2.69,2,5,4,3,,112.74,106.854,-3.92,41.691,13.6384
Copper gluconate,453.841,-1.97,5,7,0,10,,141.28,49.1081,-1.08,16.6227,12.5937
Cefixime,453.45,0.25,4,10,3,8,,184.51,104.912,-3.64,41.623,3.26373
Diphenoxylate,452.587,5.74,0,3,4,9,,53.33,146.762,-5.49,51.5766,
Repaglinide,452.586,5.05,2,5,3,10,,78.87,131.828,-5.19,51.486,15.5191
Tafluprost,452.531,4.46,2,4,2,13,,75.99,120.589,-4.93,48.6535,15.2235
Fluocinolone Acetonide,452.488,2.47,2,6,5,2,,93.06,111.413,-3.92,44.9672,13.9034
Lumacaftor,452.414,4.37,2,6,5,5,,97.75,111.971,-5.08,44.1201,11.9921
Betrixaban,451.91,2.86,3,6,3,6,,107.41,138.291,-4.44,47.6151,13.3536
Cabergoline,451.604,2.97,2,4,4,8,,71.68,133.503,-3.85,52.4952,17.0656
Doxazosin,451.475,2.53,1,9,5,4,,112.27,121.638,-2.76,46.6258,
Magnesium citrate,451.113,0.08,1,7,0,10,,140.62,68.1352,-1.85,14.2259,4.67484
Suvorexant,450.93,3.86,0,5,5,3,,80.29,134.357,-3.58,46.6791,
Empagliflozin,450.91,1.79,4,7,4,6,,108.61,113.792,-3.61,45.2449,13.4568
Phylloquinone,450.696,8.48,0,2,2,14,,34.14,142.957,-6.88,55.9165,
Crizotinib,450.337,3.82,2,5,4,5,,77.99,128.432,-4.87,45.4391,
Tedizolid Phosphate,450.323,0.82,2,9,4,6,,152.79,125.929,-2.87,41.4636,6.37088
Glisoxepide,449.524,1.57,3,6,3,6,,133.64,115.857,-3.64,46.8347,12.4221
Technetium Tc-99m disofenin,449.321,0.13,3,6,1,9,,106.94,94.9008,-3.88,37.2087,5.508
Tolvaptan,448.941,4.14,2,3,4,3,,69.64,129.155,-5.56,48.1607,14.2073
Aripiprazole,448.385,5.21,1,4,4,7,,44.81,124.336,-4.76,49.2338,
Elvitegravir,447.884,3.66,2,6,3,7,,87.07,116.256,-4.84,44.8014,15.3398
Palbociclib,447.533,2.12,2,8,5,5,,103.35,127.466,-4.41,49.6879,18.3729
Gefitinib,446.902,4.02,1,7,4,8,,68.74,117.507,-4.22,46.1137,
Thioproperazine,446.629,3.09,0,5,4,5,,47.1,126.953,-3.89,49.623,
Olmesartan,446.502,2.98,3,7,4,8,,129.81,137.324,-4.63,47.4611,4.96054
Glipizide,445.535,1.83,3,6,3,6,,130.15,115.618,-4.43,47.642,13.8704
Canagliflozin,444.516,3.09,4,5,4,5,,90.15,116.135,-5,46.5006,13.4646
Mitoxantrone,444.481,0.91,8,10,3,12,,163.18,123.534,-2.78,48.4889,11.4434
Doxycycline,444.435,-0.72,6,9,4,2,,181.62,113.892,-2.85,42.8824,4.6749
Tetracycline,444.435,-0.56,6,9,4,2,,181.62,114.188,-2.52,43.0269,4.67054
Raltegravir,444.416,,3,7,3,6,,150.02,112.592,,42.4658,12.1548
Thiothixene,443.625,4.01,0,4,4,4,,43.86,137.855,-4.5,50.3466,
Eltrombopag,442.467,4.02,3,7,4,5,,114.59,126.483,-4.63,47.6442,9.10692
Methacycline,442.424,-0.46,6,9,4,2,,181.62,113.669,-2.59,41.9526,7.99036
Dofetilide,441.565,2.17,2,6,2,9,,104.81,113.274,-4.35,46.0314,10.7771
Vilazodone,441.525,4.21,2,4,5,7,,102.29,129.711,-3.56,50.0242,17.0069
Deflazacort,441.524,2.56,1,5,5,4,,102.26,117.119,-4.4,46.7897,15.4436
Folic Acid,441.397,-0.04,6,12,3,9,,208.99,111.011,-3.76,42.0566,4.1732
Sertindole,440.941,4.29,1,2,5,5,,40.51,131.77,-4.66,47.1715,
Delafloxacin,440.76,1.67,3,8,4,3,,119.99,101.329,-3.8,38.4226,14.7654
Tirofiban,440.597,1.78,3,6,2,13,,104.73,117.476,-5.14,49.2727,10.8942
Ibrutinib,440.507,2.76,1,5,5,5,,99.16,138.074,-4.34,47.841,
Estramustine,440.403,4.97,1,2,4,6,,49.77,116.213,-6.06,48.0621,
Polythiazide,439.882,2.13,2,5,2,5,,109.57,90.5208,-3.22,37.5578,10.6492
Pivmecillinam,439.569,3.23,0,5,3,7,,88.51,113.032,-3.92,47.7025,
Quinapril,438.516,1.39,2,5,3,10,,95.94,119.956,-4.71,47.358,
Sertaconazole,437.77,5.74,0,2,4,6,,27.05,111.603,-4.84,42.9319,
Fluphenazine,437.522,4.4,1,4,4,7,,29.95,117.268,-4.36,44.9186,
Pazopanib,437.518,3.59,2,7,4,5,,119.03,132.181,-4,45.413,13.2584
Isavuconazole,437.47,3.46,1,5,4,6,,87.62,123.941,-4.43,42.6085,
Picosulfuric acid,437.44,-0.05,2,7,3,7,,140.09,101.829,-4.37,40.3047,-1.85124
Tianeptine,436.952,2.07,2,5,3,8,,86.71,113.406,-5.03,45.7253,
Flurandrenolide,436.514,2.02,2,6,5,2,,93.06,110.792,-3.88,45.7364,14.8137
Cloxacillin,435.881,2.61,2,5,4,4,,112.74,106.637,-3.91,41.6375,13.6466
Rivaroxaban,435.881,1.74,1,5,4,5,,88.18,104.744,-4.64,43.4149,15.8608
Valsartan,435.519,3.68,2,6,3,10,,112.07,134.773,-4.27,47.2731,7.39982
Aztreonam,435.433,0.04,3,10,2,6,,206.03,102.094,-4.06,39.9411,2.86554
Etravirine,435.277,3.67,2,6,3,4,,120.64,111.871,-4.41,41.0874,19.9131
Ribociclib,434.548,2.5,2,7,5,5,,91.21,125.593,-3.28,49.1268,
Flupentixol,434.52,4.56,1,3,4,6,,26.71,128.169,-5.04,44.7894,
Flunisolide,434.498,2.2,2,6,5,2,,93.06,111.885,-4.07,44.8828,14.7358
Olaparib,434.463,2.68,1,5,5,4,,86.63,118.631,-3.56,44.0329,
Ulipristal,433.592,4.45,1,4,5,3,,57.61,129.286,-4.66,49.6634,17.5964
Brexpiprazole,433.57,5.38,1,4,5,7,,44.81,129.16,-5.28,49.4792,
Mycophenolate mofetil,433.495,2.17,1,6,3,10,,94.53,117.096,-3.66,45.5501,15.6747
Buclizine,433.028,6.16,0,2,4,6,,6.48,133.017,-6.25,50.9286,
Latanoprost,432.593,4.16,3,4,2,14,,86.99,124.338,-4.53,50.7058,15.0305
Benzthiazide,431.937,2.26,2,6,3,5,,118.69,104.141,-4.53,41.4978,9.3313
Vitamin E,430.706,8.84,1,2,2,12,,29.46,135.374,-7.79,55.2889,
Trandolapril,430.537,1.31,2,5,3,10,,95.94,115.788,-4.32,46.7908,
Ingenol Mebutate,430.534,2.49,3,5,4,4,,104.06,117.857,-3.19,,13.4442
Budesonide,430.534,2.42,2,6,5,4,,93.06,116.11,-3.97,47.1087,14.9126
Bicalutamide,430.373,2.7,2,5,2,6,,107.26,96.5895,-4.67,36.6849,13.8498
Calcium gluconate,430.372,-1.97,5,7,0,10,,141.28,49.1081,-0.99,16.6222,12.5937
Mifepristone,429.594,5.33,1,3,5,3,,40.54,132.581,-5.11,50.7082,19.0265
Oxiconazole,429.12,5.28,0,3,3,6,,39.41,105.947,-5.35,40.7944,
Ulobetasol,428.9,2.93,2,4,4,2,,74.6,105.367,-4.29,42.0749,13.5764
Nandrolone decanoate,428.647,5.96,0,2,4,10,,43.37,125.94,-6.44,53.6478,
Hydroxyprogesterone caproate,428.604,4.81,0,3,4,7,,60.44,121.687,-5.69,50.0878,19.1098
Umeclidinium,428.595,2.88,1,2,5,8,,29.46,141.753,-7.38,50.4245,
Irbesartan,428.529,4.51,1,5,5,7,,87.13,136.716,-4.69,47.5873,
Pimavanserin,427.564,4.19,1,3,3,8,,44.81,122.933,-4.76,47.7571,
Ranolazine,427.536,2.08,2,6,3,9,,74.27,123.46,-3.59,47.2181,14.254
Moricizine,427.517,3.04,1,5,4,6,,71.11,118.879,-4.1,45.2695,18.4675
Cefpodoxime,427.455,0.05,3,9,3,7,,156.44,100.708,-3.36,39.9003,11.0855
Cefoxitin,427.452,0.22,3,6,3,8,,148.26,98.7643,-3.34,39.4623,10.9681
Pemetrexed,427.411,-0.19,7,9,3,9,,187.96,120.464,-3.67,43.0556,4.13569
Cariprazine,427.41,4.56,1,3,3,5,,38.82,117.81,-4.19,48.0733,
Mometasone,427.361,2.81,2,4,4,2,,74.6,110.287,-4.91,43.8187,13.8476
Ioflupane I-123,427.291,4.24,0,2,3,6,,29.54,97.3382,-4.88,38.7467,
Lenvatinib,426.86,3.25,4,7,4,6,,120.05,123.672,-4.38,42.7358,7.15287
Perospirone,426.58,3.94,0,5,5,6,,56.75,120.293,-4.13,48.3877,
Darifenacin,426.55,4.35,1,3,5,7,,55.56,128.375,-6.16,48.5418,
Paliperidone,426.484,2.3,1,5,5,4,,82.17,116.041,-3.16,45.9475,
Iloperidone,426.481,4.26,0,5,4,8,,64.8,116.646,-4.15,46.5093,
Domperidone,425.911,3.7,2,3,5,5,,67.92,119.374,-3.66,45.6114,13.1421
Clindamycin,424.983,1.59,4,7,2,7,,105.75,106.239,-2.97,44.9888,12.4981
Difenoxin,424.534,4.39,1,4,4,7,,64.33,137.244,-5.31,47.5613,
Alvimopan,424.533,3.25,3,5,3,8,,89.87,120.559,-4.71,46.7733,9.74783
Pravastatin,424.528,2.23,4,6,2,11,,124.29,113.598,-3.24,46.5597,14.5338
Eprosartan,424.513,3.57,2,5,3,10,,92.42,117.024,-4.69,45.2917,4.31169
Benazepril,424.49,1.14,2,5,3,10,,95.94,115.228,-4.61,44.9768,18.0054
Cefuroxime,424.385,-0.24,3,7,3,8,,173.76,97.1658,-3.17,38.7497,10.9751
Cocarboxylase,424.306,-1.21,3,8,2,8,,171.8,94.0238,-3.11,35.852,3.19786
Cefapirin,423.463,0.18,2,6,3,8,,125.9,102.431,-3.45,40.6252,11.5393
Losartan,422.911,4.5,2,5,4,8,,92.51,131.85,-4.95,44.8609,14.2733
Riociguat,422.416,2.27,2,8,4,5,,138.07,135.248,-3.79,41.8954,
Indigotindisulfonic Acid,422.389,-0.94,4,10,4,2,,166.94,101.286,-3.63,39.6467,-2.14945
Kappadione,422.084,2.37,0,6,2,4,,144.84,68.7702,-1.72,26.1342,2.07562
Pitavastatin,421.461,3.75,3,5,4,8,,90.65,115.739,-5.03,43.7633,14.6493
Topotecan,421.446,1.84,2,6,5,3,,103.2,115.016,-2.69,44.8593,11.7163
Bendroflumethiazide,421.415,1.83,3,5,3,4,,118.36,93.6846,-3.29,36.9174,10.0992
Vismodegib,421.297,4.22,1,4,3,4,,76.13,107.812,-5.39,39.4922,19.6975
Obeticholic acid,420.625,3.5,3,4,4,5,,77.76,118.346,-4.58,49.7419,18.3009
Levocabastine,420.528,4.56,1,4,4,4,,64.33,118.483,-5.08,45.5835,
Doripenem,420.504,-1.27,5,8,3,6,,162.06,99.8802,-2.13,42.3687,11.0744
